"AÑO,""TRIMESTRE"",""PROVEEDOR"",""COD_DEPARTAMENTO"",""DEPARTAMENTO"",""COD_MUNICIPIO"",""MUNICIPIO"",""SEGMENTO"",""TECNOLOGIA"",""VELOCIDAD_BAJADA"",""VELOCIDAD_SUBIDA"",""No DE ACCESOS"""
"2020,""2"",""COMUNICACION CELULAR S A COMCEL S A"",""68"",""SANTANDER"",""68276"",""FLORIDABLANCA"",""CORPORATIVO"",""CABLE"",""5,12"",""2,25"",""4"""
"2019,""1"",""C&C WIFI SAS"",""66"",""RISARALDA"",""66001"",""PEREIRA"",""RESIDENCIAL - ESTRATO 1"",""WIFI"",""6,00"",""3,00"",""22"""
"2017,""1"",""TELMEX COLOMBIA S.A."",""05"",""ANTIOQUIA"",""05001"",""MEDELLÍN"",""RESIDENCIAL - ESTRATO 1"",""CABLE"",""5000,00"",""1024,00"",""2"""
"2018,""1"",""UNE EPM TELECOMUNICACIONES S.A."",""11"",""BOGOTÁ D.C."",""11001"",""BOGOTÁ, D.C."",""CORPORATIVO"",""OTRAS TECNOLOGÍAS DE FIBRA (ANTES FTTX)"",""20,00"",""20,00"",""53"""
"2018,""2"",""INALREDES SAS"",""41"",""HUILA"",""41797"",""TESALIA"",""RESIDENCIAL - ESTRATO 2"",""WIMAX"",""6,00"",""3,00"",""1"""
"2018,""3"",""COLOMBIA TELECOMUNICACIONES S.A. E.S.P."",""54"",""NORTE DE SANTANDER"",""54001"",""SAN JOSÉ DE CÚCUTA"",""RESIDENCIAL - ESTRATO 6"",""XDSL"",""2,00"",""1,00"",""2"""
"2017,""4"",""FUTURE SOLUTIONS DEVELOPMENT S.A.S."",""15"",""BOYACÁ"",""15542"",""PESCA"",""RESIDENCIAL - ESTRATO 2"",""OTRAS TECNOLOGÍAS INALÁMBRICAS"",""4,00"",""4,00"",""6"""
"2020,""3"",""EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP"",""50"",""META"",""50313"",""GRANADA"",""RESIDENCIAL - ESTRATO 2"",""XDSL"",""3,00"",""0,80"",""157"""
"2018,""1"",""UNE EPM TELECOMUNICACIONES S.A."",""05"",""ANTIOQUIA"",""05266"",""ENVIGADO"",""RESIDENCIAL - ESTRATO 4"",""OTRAS TECNOLOGÍAS DE FIBRA (ANTES FTTX)"",""3,00"",""1,00"",""1"""
"2019,""1"",""TELMEX COLOMBIA S.A."",""66"",""RISARALDA"",""66170"",""DOSQUEBRADAS"",""RESIDENCIAL - ESTRATO 3"",""OTRAS TECNOLOGÍAS INALÁMBRICAS"",""4,10"",""4,00"",""2"""
"2020,""1"",""METROTEL S.A"",""08"",""ATLÁNTICO"",""08758"",""SOLEDAD"",""RESIDENCIAL - ESTRATO 2"",""XDSL"",""6,00"",""1,00"",""2734"""
"2020,""4"",""COLOMBIA TELECOMUNICACIONES S.A. E.S.P."",""52"",""NARIÑO"",""52356"",""IPIALES"",""RESIDENCIAL - ESTRATO 3"",""XDSL"",""4,00"",""1,00"",""20"""
"2018,""4"",""DIRECTV COLOMBIA LTDA"",""15"",""BOYACÁ"",""15491"",""NOBSA"",""RESIDENCIAL - ESTRATO 3"",""OTRAS TECNOLOGÍAS INALÁMBRICAS"",""6,00"",""1,00"",""10"""
"2019,""2"",""TV AZTECA SUCURSAL COLOMBIA"",""41"",""HUILA"",""41359"",""ISNOS"",""CORPORATIVO"",""SATELITAL"",""1,00"",""0,25"",""2"""
"2018,""1"",""COLOMBIA TELECOMUNICACIONES S.A. E.S.P."",""70"",""SUCRE"",""70001"",""SINCELEJO"",""RESIDENCIAL - ESTRATO 2"",""XDSL"",""11,00"",""1,00"",""5"""
"2018,""1"",""AZTECA COMUNICACIONES COLOMBIA S.A.S"",""73"",""TOLIMA"",""73283"",""FRESNO"",""CORPORATIVO"",""OTRAS TECNOLOGÍAS INALÁMBRICAS"",""20,00"",""10,00"",""1"""
"2018,""1"",""TELMEX COLOMBIA S.A."",""50"",""META"",""50006"",""ACACÍAS"",""RESIDENCIAL - ESTRATO 1"",""CABLE"",""5,12"",""1,02"",""519"""
"2017,""3"",""MEDIA COMMERCE PARTNERS S.A."",""19"",""CAUCA"",""19256"",""EL TAMBO"",""CORPORATIVO"",""OTRAS TECNOLOGÍAS INALÁMBRICAS"",""2,04"",""2,04"",""2"""
"2020,""1"",""WI-SAT COMUNICACIONES S.A.S."",""15"",""BOYACÁ"",""15238"",""DUITAMA"",""CORPORATIVO"",""OTRAS TECNOLOGÍAS INALÁMBRICAS"",""5,00"",""2,00"",""5"""
"2020,""1"",""AZTECA COMUNICACIONES COLOMBIA S.A.S"",""47"",""MAGDALENA"",""47030"",""ALGARROBO"",""CORPORATIVO"",""FIBER TO THE HOME (FTTH)"",""40,00"",""20,00"",""1"""
"2019,""1"",""DIRECTV COLOMBIA LTDA"",""73"",""TOLIMA"",""73411"",""LÍBANO"",""RESIDENCIAL - ESTRATO 2"",""OTRAS TECNOLOGÍAS INALÁMBRICAS"",""10,00"",""2,00"",""27"""
"2019,""2"",""COLOMBIA TELECOMUNICACIONES S.A. E.S.P."",""25"",""CUNDINAMARCA"",""25269"",""FACATATIVÁ"",""RESIDENCIAL - ESTRATO 2"",""XDSL"",""1,00"",""1,00"",""144"""
"2019,""3"",""HUGHES DE COLOMBIA S.A.S."",""13"",""BOLÍVAR"",""13683"",""SANTA ROSA"",""RESIDENCIAL - ESTRATO 4"",""SATELITAL"",""30,00"",""3,00"",""2"""
"2019,""2"",""UNE EPM TELECOMUNICACIONES S.A."",""05"",""ANTIOQUIA"",""05172"",""CHIGORODÓ"",""CORPORATIVO"",""OTRAS TECNOLOGÍAS DE FIBRA (ANTES FTTX)"",""120,00"",""60,00"",""1"""
"2019,""2"",""COLOMBIA TELECOMUNICACIONES S.A. E.S.P."",""08"",""ATLÁNTICO"",""08758"",""SOLEDAD"",""RESIDENCIAL - ESTRATO 2"",""OTRAS TECNOLOGÍAS DE FIBRA (ANTES FTTX)"",""20,00"",""1,00"",""8"""
"2020,""1"",""AZTECA COMUNICACIONES COLOMBIA S.A.S"",""73"",""TOLIMA"",""73026"",""ALVARADO"",""CORPORATIVO"",""FIBER TO THE HOME (FTTH)"",""6,00"",""3,00"",""13"""
"2019,""2"",""COMUNICACION CELULAR S A COMCEL S A"",""25"",""CUNDINAMARCA"",""25286"",""FUNZA"",""RESIDENCIAL - ESTRATO 1"",""CABLE"",""60,00"",""6,00"",""1"""
"2020,""3"",""COMUNICACION CELULAR S A COMCEL S A"",""76"",""VALLE DEL CAUCA"",""76001"",""CALI"",""RESIDENCIAL - ESTRATO 2"",""CABLE"",""30,00"",""6,00"",""25205"""
"2019,""1"",""TELMEX COLOMBIA S.A."",""54"",""NORTE DE SANTANDER"",""54001"",""SAN JOSÉ DE CÚCUTA"",""RESIDENCIAL - ESTRATO 1"",""CABLE"",""10,24"",""2,25"",""668"""
"2020,""4"",""AZTECA COMUNICACIONES COLOMBIA S.A.S"",""86"",""PUTUMAYO"",""86885"",""VILLAGARZÓN"",""CORPORATIVO"",""FIBER TO THE HOME (FTTH)"",""5,00"",""2,00"",""1"""
"2020,""3"",""EDATEL S.A."",""23"",""CÓRDOBA"",""23068"",""AYAPEL"",""RESIDENCIAL - ESTRATO 1"",""XDSL"",""2,00"",""1,00"",""31"""
"2019,""4"",""AZTECA COMUNICACIONES COLOMBIA S.A.S"",""52"",""NARIÑO"",""52317"",""GUACHUCAL"",""RESIDENCIAL - ESTRATO 1"",""FIBER TO THE HOME (FTTH)"",""15,00"",""7,00"",""3"""
"2019,""2"",""COLOMBIA TELECOMUNICACIONES S.A. E.S.P."",""68"",""SANTANDER"",""68755"",""SOCORRO"",""CORPORATIVO"",""XDSL"",""6,00"",""1,00"",""15"""
"2019,""2"",""MEDIA COMMERCE PARTNERS S.A."",""17"",""CALDAS"",""17050"",""ARANZAZU"",""CORPORATIVO"",""OTRAS TECNOLOGÍAS INALÁMBRICAS"",""4,10"",""4,10"",""1"""
"2017,""4"",""COLOMBIA TELECOMUNICACIONES S.A. E.S.P."",""81"",""ARAUCA"",""81794"",""TAME"",""CORPORATIVO"",""XDSL"",""1,00"",""1,00"",""25"""
"2018,""2"",""DIRECTV COLOMBIA LTDA"",""08"",""ATLÁNTICO"",""08296"",""GALAPA"",""RESIDENCIAL - ESTRATO 1"",""OTRAS TECNOLOGÍAS INALÁMBRICAS"",""10,00"",""2,00"",""3"""
"2020,""4"",""COLOMBIA TELECOMUNICACIONES S.A. E.S.P."",""15"",""BOYACÁ"",""15176"",""CHIQUINQUIRÁ"",""CORPORATIVO"",""XDSL"",""3,00"",""1,00"",""11"""
"2020,""1"",""COMUNICACION CELULAR S A COMCEL S A"",""68"",""SANTANDER"",""68001"",""BUCARAMANGA"",""RESIDENCIAL - ESTRATO 2"",""OTRAS TECNOLOGÍAS INALÁMBRICAS"",""4,10"",""4,00"",""1"""
"2020,""1"",""COMUNICACION CELULAR S A COMCEL S A"",""05"",""ANTIOQUIA"",""05440"",""MARINILLA"",""CORPORATIVO"",""CABLE"",""30,00"",""9,00"",""1"""
"2017,""1"",""TELMEX COLOMBIA S.A."",""76"",""VALLE DEL CAUCA"",""76248"",""EL CERRITO"",""RESIDENCIAL - ESTRATO 2"",""CABLE"",""22528,00"",""4506,00"",""7"""
"2019,""1"",""COLOMBIA TELECOMUNICACIONES S.A. E.S.P."",""76"",""VALLE DEL CAUCA"",""76001"",""CALI"",""RESIDENCIAL - ESTRATO 3"",""OTRAS TECNOLOGÍAS DE FIBRA (ANTES FTTX)"",""22,00"",""1,00"",""7"""
"2017,""2"",""COLOMBIA TELECOMUNICACIONES S.A. E.S.P."",""76"",""VALLE DEL CAUCA"",""76233"",""DAGUA"",""RESIDENCIAL - ESTRATO 2"",""XDSL"",""2,00"",""1,00"",""42"""
"2018,""4"",""TELMEX COLOMBIA S.A."",""68"",""SANTANDER"",""68001"",""BUCARAMANGA"",""RESIDENCIAL - ESTRATO 5"",""CABLE"",""4,51"",""1,02"",""1"""
"2020,""4"",""COLOMBIA TELECOMUNICACIONES S.A. E.S.P."",""54"",""NORTE DE SANTANDER"",""54498"",""OCAÑA"",""RESIDENCIAL - ESTRATO 2"",""XDSL"",""3,00"",""1,00"",""210"""
"2017,""2"",""AZTECA COMUNICACIONES COLOMBIA S.A.S"",""85"",""CASANARE"",""85162"",""MONTERREY"",""CORPORATIVO"",""FIBER TO THE HOME (FTTH)"",""6,00"",""6,00"",""3"""
"2019,""1"",""UNE EPM TELECOMUNICACIONES S.A."",""11"",""BOGOTÁ D.C."",""11001"",""BOGOTÁ, D.C."",""CORPORATIVO"",""OTRAS TECNOLOGÍAS DE FIBRA (ANTES FTTX)"",""250,00"",""250,00"",""1"""
"2019,""3"",""UNE EPM TELECOMUNICACIONES S.A."",""66"",""RISARALDA"",""66001"",""PEREIRA"",""RESIDENCIAL - ESTRATO 4"",""XDSL"",""0,50"",""0,50"",""1"""
"2017,""3"",""EDATEL S.A."",""05"",""ANTIOQUIA"",""05656"",""SAN JERÓNIMO"",""RESIDENCIAL - ESTRATO 3"",""XDSL"",""3,00"",""1,00"",""71"""
"2020,""4"",""COMUNICACION CELULAR S A COMCEL S A"",""23"",""CÓRDOBA"",""23001"",""MONTERÍA"",""CORPORATIVO"",""CABLE"",""100,00"",""8,00"",""55"""
"2019,""2"",""UNE EPM TELECOMUNICACIONES S.A."",""54"",""NORTE DE SANTANDER"",""54001"",""SAN JOSÉ DE CÚCUTA"",""RESIDENCIAL - ESTRATO 4"",""HYBRID FIBER COAXIAL (HFC)"",""3,00"",""1,00"",""3"""
"2018,""3"",""INFRAESTRUCTURA Y SERVICIOS DE COLOMBIA SAS"",""50"",""META"",""50226"",""CUMARAL"",""RESIDENCIAL - ESTRATO 1"",""WIMAX"",""1,00"",""0,50"",""224"""
"2020,""3"",""MERCANET SAS"",""11"",""BOGOTÁ D.C."",""11001"",""BOGOTÁ, D.C."",""CORPORATIVO"",""OTRAS TECNOLOGÍAS DE FIBRA (ANTES FTTX)"",""61,00"",""61,00"",""2"""
"2017,""4"",""METROTEL S.A"",""08"",""ATLÁNTICO"",""08001"",""BARRANQUILLA"",""RESIDENCIAL - ESTRATO 4"",""XDSL"",""2,05"",""0,80"",""684"""
"2020,""2"",""VIP SERVICIOS INTELIGENTES S.A.S"",""68"",""SANTANDER"",""68547"",""PIEDECUESTA"",""RESIDENCIAL - ESTRATO 2"",""WIFI"",""4,00"",""2,00"",""2"""
"2018,""4"",""EDATEL S.A."",""05"",""ANTIOQUIA"",""05284"",""FRONTINO"",""RESIDENCIAL - ESTRATO 3"",""XDSL"",""2,00"",""1,00"",""60"""
"2018,""4"",""COLOMBIA TELECOMUNICACIONES S.A. E.S.P."",""25"",""CUNDINAMARCA"",""25290"",""FUSAGASUGÁ"",""RESIDENCIAL - ESTRATO 1"",""OTRAS TECNOLOGÍAS DE FIBRA (ANTES FTTX)"",""4,00"",""1,00"",""4"""
"2017,""2"",""EDATEL S.A."",""05"",""ANTIOQUIA"",""05789"",""TÁMESIS"",""RESIDENCIAL - ESTRATO 1"",""XDSL"",""2,00"",""0,51"",""15"""
"2019,""2"",""EVERNET S.A.S."",""25"",""CUNDINAMARCA"",""25772"",""SUESCA"",""CORPORATIVO"",""WIFI"",""10,00"",""4,50"",""1"""
"2018,""4"",""AIRMAX.NET TELECOMUNICACIONES SAS"",""76"",""VALLE DEL CAUCA"",""76001"",""CALI"",""RESIDENCIAL - ESTRATO 1"",""WIFI"",""4,50"",""1,00"",""1"""
"2017,""4"",""EDATEL S.A."",""05"",""ANTIOQUIA"",""05664"",""SAN PEDRO DE LOS MILAGROS"",""RESIDENCIAL - ESTRATO 1"",""XDSL"",""10,00"",""1,00"",""1"""
"2020,""2"",""COLOMBIA TELECOMUNICACIONES S.A. E.S.P."",""63"",""QUINDÍO"",""63130"",""CALARCA"",""RESIDENCIAL - ESTRATO 1"",""XDSL"",""3,00"",""1,00"",""12"""
"2018,""3"",""COLOMBIA TELECOMUNICACIONES S.A. E.S.P."",""76"",""VALLE DEL CAUCA"",""76400"",""LA UNIÓN"",""CORPORATIVO"",""XDSL"",""10,00"",""1,00"",""91"""
